spp1,spp2,outgroup,sp1_ds,sp2_ds,sp1_dn,sp2_dn,sp1_w,sp2_w,ds_diff,dn_diff,w_diff,gentime_sp1,gentime_sp2
Buteo_burmanicus_KM364882,Accipiter_nisus_NC025580,Aquila_chrysaetos_NC024087,0.512705,1.035625,0.011353,0.026926,0.0221425,0.0260002,-0.52292,-0.015573,-0.507347,910.202,365
Phylloscopus_inornatus_KF742677,Aegithalos_caudatus_KF951088,Cecropis_daurica_NC_024107,0.816349,0.704266,0.01942,0.020195,0.0237886,0.0286754,0.112083,-0.000775,0.112858,365,365
Netta_rufina_NC024922,Anas_formosa_NC015482,Aix_galericulata_NC023969,0.660704,0.428585,0.011251,0.00496,0.0170283,0.0115721,0.232119,0.006291,0.225828,365,60.83333333
Branta_canadensis_NC007011,Anser_albifrons_NC004539,Aix_galericulata_NC023969,0.184006,0.343615,0.006366,0.005459,0.0345955,0.0158879,-0.159609,0.000907,-0.160516,730,1095
Apus_apus_NC008540,Archilocus_colubris_NC010094,Calyptorhynchus_lathami_NC020593,0.987061,1.402613,0.024687,0.032234,0.025011,0.0229815,-0.415552,-0.007547,-0.408005,728.468,364.234
Rhynchopsitta_terrisi_NC021771,Brotogeris_cyanoptera_HM627323,Melopsittacus_undulatus_NC009134,0.80518,0.805187,0.028687,0.029213,0.0356282,0.0362805,-7.00E-06,-0.000526,0.000519,730,730
Aix_galericulata_NC023969,Cairina_moschata_NC010965,Anser_indicus_NC025654,0.27621,0.341566,0.008353,0.009633,0.0302407,0.0282026,-0.065356,-0.00128,-0.064076,363.468,365
Nymphicus_hollandicus_HM640215,Calyptorhynchus_lathami_NC020593,Amazona_barbadensis_JX524615,0.629117,0.56713,0.01993,0.022289,0.0316788,0.0393017,0.061987,-0.002359,0.064346,455.694,1090.404
Dromaius_novaehollandiae_NC002784,Casuarius_casuarius_NC002778,Pterocnemia_pennata_NC002783,0.393616,0.507008,0.00767,0.006026,0.0194979,0.0118852,-0.113392,0.001644,-0.115036,726.936,1453.872
Nucifraga_columbiana_NC022839,Corvus_hawaiiensis_NC_026783,Eopsaltria_australis_NC019665,0.429889,0.380467,0.010424,0.012222,0.0242484,0.0321243,0.049422,-0.001798,0.05122,365,730
Pygoscelis_adeliae_GQ925791,Eudyptula_minor_NC004538,Botaurus_stellaris_NC025923,0.412036,0.603369,0.010936,0.018031,0.026541,0.0298845,-0.191333,-0.007095,-0.184238,1366.569,726.936
Turdus_migratorius,Ficedula_albicollis_NC021621,Acridotheres_cristatellus_NC015613,0.808746,0.638578,0.018425,0.012066,0.022782,0.0188957,0.170168,0.006359,0.163809,364.234,364.234
Fulica_atra_NC025500,Gallinula_chloropus_NC015236,Eulabeornis_castaneoventris_NC025501,0.40759,0.278621,0.006249,0.012379,0.0153307,0.0444293,0.128969,-0.00613,0.135099,365,364.234
Crotophaga_ani_HM746794,Geococcyx_californianus_NC011711,Balearica_regulorum_NC020569,0.8135,0.916818,0.036834,0.034111,0.0452781,0.0372063,-0.103318,0.002723,-0.106041,730.5,365
Cardinalis_cardinalis,Geospiza_fortis_KM891730,Emberiza_chrysophrys_NC015233,0.639343,0.546365,0.011953,0.014522,0.0186952,0.0265784,0.092978,-0.002569,0.095547,364.234,365.25
Balearica_regulorum_NC020569,Grus_paradisea_FJ769844,Amaurornis_phoenicurus_NC024593,0.512403,0.300667,0.014507,0.008614,0.028311,0.0286507,0.211736,0.005893,0.205843,1453.872,1635.606
Haematopus_ater_NC003713,Himantopus_mexicanus,Chionis_minor,0.391999,0.463417,0.014957,0.011269,0.0381562,0.0243173,-0.071418,0.003688,-0.075106,1095,545.968
Cecropis_daurica_NC_024107,Hirundo_rustica_KP148840,Progne_chalybea_NC020605,0.537448,0.238534,0.012749,0.007431,0.0237205,0.0311525,0.298914,0.005318,0.293596,363.468,365
Botaurus_stellaris_NC025923,Ixobrychus_eurhythmus_NC025924,Nycticorax_nycticorax_NC015807,0.567911,0.48581,0.014419,0.011519,0.0253888,0.0237105,0.082101,0.0029,0.079201,546.734,730
Rissa_tridactyla,Larus_dominicanus_NC007006,Rhynchops_niger,0.161891,0.196619,0.006732,0.004898,0.0415842,0.0249107,-0.034728,0.001834,-0.036562,1643.125,1460
Jacana_spinosa_NC024068,Pedionomus_torquatus,Scolopax_rusticola_NC025521,0.844063,0.919093,0.023331,0.021302,0.0276414,0.0231777,-0.07503,0.002029,-0.077059,730,365
Chrysolophus_amherstiae_NC014576,Phasianus_colchicus_NC015526,Bonasia_bonasia_NC020591,0.354755,0.244023,0.006705,0.010186,0.0189017,0.0417432,0.110732,-0.003481,0.114213,363.468,240
Diomedea_chrysostoma_AP009193,Phoebastria_nigripes_NC026188,Procellaria_cinerea_AP009191,0.330991,0.383181,0.012203,0.009351,0.0368691,0.0244041,-0.05219,0.002852,-0.055042,4383,3287.25
Nipponia_nippon_NC008132,Platalea_leucorodia_NC012772,Botaurus_stellaris_NC025923,0.472419,0.572265,0.010034,0.008909,0.0212391,0.0155678,-0.099846,0.001125,-0.100971,1095,1095
Pinicola_enucleator,Pyrrhula_pyrrhula,Himatione_sanguinea,0.534672,0.524654,0.00698,0.007751,0.0130546,0.0147736,0.010018,-0.000771,0.010789,363.468,364.234
Euphagus_cyanocephalus_NC018827,Quiscalus_quiscula_NC018803,Macroagelaius_imthurni_NC018810,0.231872,0.216698,0.002138,0.004028,0.00921993,0.018588,0.015174,-0.00189,0.017064,365,365
Arenaria_interpres_NC003712,Scolopax_rusticola_NC025521,Attagis_gayi,0.552177,0.807309,0.012167,0.016682,0.0220348,0.0206635,-0.255132,-0.004515,-0.250617,728.468,455.101
Campylorhynchus_zonatus_NC022840,Sitta_carolinensis,Acridotheres_cristatellus_NC015613,1.156065,1.08368,0.028037,0.026896,0.0242521,0.0248187,0.072385,0.001141,0.071244,243,364.234
Catharacta_skua,Stercorarius_maccormicki_NC026125,Larus_saundersi_NC017601,0.030009,0.02923,0.00174,0.001839,0.0579731,0.0629046,0.000779,-9.90E-05,0.000878,1821.936,1822.686
Morus_serrator_GU071056,Sula_dactylatra_KC875857,Anhinga_rufa_NC014681,0.505909,0.437499,0.012285,0.015593,0.0242838,0.0356412,0.06841,-0.003308,0.071718,730,1461
Podiceps_cristatus_NC008140,Tachypatpus_novaehollandiae_NC010095,Aceros_corrugatus_HM755883,0.360982,0.508659,0.009547,0.006847,0.026446,0.0134602,-0.147677,0.0027,-0.150377,728.468,365
Taeniopygia_guttata_NC_007897,Vidua_chalybeata_NC000880,Montifringilla_nivalis,0.623579,0.763832,0.015848,0.028495,0.025414,0.0373047,-0.140253,-0.012647,-0.127606,60,365
Columba_livia_NC013978,Zenaida_auriculata_HM640211,Gallicolumba_luzonica_HM746790,0.760018,0.735068,0.017947,0.014053,0.0236138,0.0191175,0.02495,0.003894,0.021056,140,227.5
